col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
312,116642,113,2953,1.6,72989.7,29.5,5349,0,COSMIC
313,117056,78,904,0.6,72991.8,29.4,41522,0,COSMIC
314,117104,506,4095,6.2,72991.8,29.4,5516,0,COSMIC
315,117158,79,1051,0.7,72991.8,29.4,5428,0,COSMIC
316,117184,84,1818,1.0,72991.8,29.4,5340,0,COSMIC
317,117226,581,4095,7.3,72991.8,29.4,5405,0,COSMIC
318,117721,85,1947,1.1,72989.7,29.5,41577,0,COSMIC
319,118356,324,3872,3.8,72991.8,29.4,41527,0,COSMIC
320,118363,82,1772,1.0,72991.8,29.4,5531,0,COSMIC
321,118567,161,3431,2.2,72989.7,29.5,41646,0,COSMIC
322,118678,77,772,0.6,72989.7,29.5,5504,0,COSMIC
323,119059,81,1664,0.9,72990.7,29.5,41597,0,COSMIC
324,119826,165,3311,2.1,72992.8,29.5,41607,0,COSMIC
325,120037,114,2708,1.5,72993.4,29.5,41567,0,COSMIC
326,120677,78,848,0.6,72990.2,29.5,41664,0,COSMIC
327,122318,82,1172,0.8,72990.2,29.5,113341,0,COSMIC
328,123058,79,1596,0.9,72988.0,29.5,77490,0,COSMIC
329,123121,83,2018,1.1,72988.0,29.5,5522,0,COSMIC
330,123710,81,1094,0.7,72990.2,29.5,41550,0,COSMIC
331,124053,78,945,0.7,72993.9,29.5,41554,0,COSMIC
332,124084,434,4095,5.2,72993.9,29.5,5481,0,COSMIC
333,124273,104,2650,1.4,72993.9,29.5,5384,0,COSMIC
334,124303,82,936,0.7,72993.9,29.5,5360,0,COSMIC
335,124500,100,2526,1.4,72993.4,29.5,77658,0,COSMIC
336,124600,115,3170,1.7,72993.4,29.5,5493,0,COSMIC
337,124819,511,4095,6.3,72993.4,29.5,5348,0,COSMIC
338,124909,100,2480,1.4,72993.4,29.5,5301,0,COSMIC
339,124984,82,1360,0.8,72993.4,29.5,5340,0,COSMIC
340,125168,277,3920,3.4,72993.9,29.5,54225,0,COSMIC
341,125285,205,3746,2.7,72993.9,29.5,5534,0,COSMIC
342,126311,86,1788,1.0,72991.2,29.5,77480,0,COSMIC
343,126498,112,2840,1.6,72991.2,29.5,5483,0,COSMIC
